Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
21/06/2026,UPI-SRI LAXMI KIRANA-laxmikirana@ybl-HDFC0000123-477005411998,643.00,,19484.00
23/06/2026,UPI-ZOMATO-zomato@hdfcbank-ICIC0000456-320037917693,376.00,,19108.00
23/06/2026,UPI-DOMINOS PIZZA-dominos@paytm-KKBK0000958-242102499471,729.00,,18379.00
23/06/2026,UPI-FLIPKART INTERNET-flipkart@axisbank-UTIB0000789-747338484219,889.00,,17490.00
24/06/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-UTIB0000789-556238692221,98.00,,17392.00
24/06/2026,UPI-OLA CABS-olacabs@icici-KKBK0000958-702135569092,243.00,,17149.00
26/06/2026,UPI-RAPIDO-rapido@ybl-UTIB0000789-571928565431,76.00,,17073.00
27/06/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-YESB0000262-379237474074,106.00,,16967.00
27/06/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-ICIC0000456-175946474367,33.00,,16934.00
27/06/2026,UPI-DMART-dmart@sbi-YESB0000262-807935978207,355.00,,16579.00
27/06/2026,UPI-BIGBASKET-bigbasket@icici-KKBK0000958-182037788925,631.00,,15948.00
29/06/2026,UPI-OLA CABS-olacabs@icici-ICIC0000456-786814473947,121.00,,15827.00
30/06/2026,INT.PD:01-04-2026 TO 30-06-2026,,96.00,15923.00
30/06/2026,UPI-JIO PREPAID-jioprepaid@icici-UTIB0000789-005242786801-RECHARGE,299.00,,15624.00
30/06/2026,UPI-ZOMATO-zomato@hdfcbank-SBIN0001234-320163287083,242.00,,15382.00
01/07/2026,NEFT-CR-N960013389-ACME TECHNOLOGIES PVT LTD-SALARY JUL 2026,,45000.00,60382.00
02/07/2026,IMPS-301031051834-TRANSFER TO SELF SAVINGS A/C,4000.00,,56382.00
03/07/2026,ACH D- FITZONE GYMS PVT LTD-71822782,1000.00,,55382.00
03/07/2026,UPI-OLA CABS-olacabs@icici-SBIN0001234-155188442258,127.00,,55255.00
04/07/2026,UPI-UBER INDIA-uber@axisbank-ICIC0000456-237058957829,296.00,,54959.00
05/07/2026,UPI-RAVINDER KUMAR-ravinderk@ybl-KKBK0000958-192832764835-rent,12000.00,,42959.00
05/07/2026,UPI-ZOMATO-zomato@hdfcbank-SBIN0001234-986872774348,428.00,,42531.00
05/07/2026,UPI-UBER INDIA-uber@axisbank-HDFC0000123-467866912517,189.00,,42342.00
05/07/2026,UPI-APOLLO PHARMACY-apollopharmacy@icici-HDFC0000123-913075626368,602.00,,41740.00
06/07/2026,UPI-METRO RAIL TRAVEL CARD-metrocard@ybl-ICIC0000456-754330365414-RECHARGE,500.00,,41240.00
06/07/2026,UPI-OLA CABS-olacabs@icici-YESB0000262-528922680182,147.00,,41093.00
07/07/2026,UPI-MANDATE-SPOTIFY INDIA-spotify@axisbank-SBIN0001234-871331509839,119.00,,40974.00
08/07/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-KKBK0000958-640909743953,101.00,,40873.00
08/07/2026,UPI-FLIPKART INTERNET-flipkart@axisbank-KKBK0000958-833016571208,722.00,,40151.00
08/07/2026,BILLDESK-HDFC CREDIT CARD-8926870568-CC PAYMENT,7193.00,,32958.00
10/07/2026,ACH D- BAJAJ FINANCE LTD-54303911,5500.00,,27458.00
10/07/2026,UPI-STARBUCKS-starbucks@hdfcbank-UTIB0000789-887719065940,343.00,,27115.00
10/07/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-YESB0000262-421047095214,61.00,,27054.00
10/07/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-SBIN0001234-232858842474,115.00,,26939.00
10/07/2026,UPI-BIGBASKET-bigbasket@icici-KKBK0000958-905151864492,591.00,,26348.00
12/07/2026,BBPS-BROADBAND SERVICES-4896383465-BILL PAY,999.00,,25349.00
12/07/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-HDFC0000123-712368516048,35.00,,25314.00
13/07/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-UTIB0000789-496513709859,48.00,,25266.00
13/07/2026,UPI-BLINKIT-blinkit@icici-YESB0000262-254629148652,936.00,,24330.00
14/07/2026,UPI-SRI LAXMI KIRANA-laxmikirana@ybl-HDFC0000123-685054235733,390.00,,23940.00
15/07/2026,UPI-SWIGGY-swiggy@icici-UTIB0000789-714345581223,376.00,,23564.00
15/07/2026,UPI-SWIGGY-swiggy@icici-KKBK0000958-316658760366,479.00,,23085.00
15/07/2026,UPI-UBER INDIA-uber@axisbank-ICIC0000456-535841438424,227.00,,22858.00
15/07/2026,ATM WDL-512868-ATM HDFC0001,2000.00,,20858.00
16/07/2026,BBPS-ELECTRICITY BOARD-9911838425-BILL PAY,1780.00,,19078.00
17/07/2026,UPI-SWIGGY-swiggy@icici-YESB0000262-670546688937,292.00,,18786.00
19/07/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-HDFC0000123-746120047113,133.00,,18653.00
19/07/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-ICIC0000456-675869261796,140.00,,18513.00
20/07/2026,UPI-RAHUL SHARMA-rahul.sharma21@okhdfcbank-SBIN0001234-287431527420-hostel adv,2000.00,,16513.00
22/07/2026,UPI-ZOMATO-zomato@hdfcbank-SBIN0001234-706562729806,483.00,,16030.00
23/07/2026,UPI-DOMINOS PIZZA-dominos@paytm-KKBK0000958-990490278742,849.00,,15181.00
23/07/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-HDFC0000123-537735158506,55.00,,15126.00
25/07/2026,UPI-ZEPTO-zepto@hdfcbank-HDFC0000123-418880592962,416.00,,14710.00
26/07/2026,UPI-SWIGGY-swiggy@icici-HDFC0000123-627204653755,374.00,,14336.00
28/07/2026,NEFT-CR-N161559407-PIXELCRAFT STUDIO-INV 214,,6000.00,20336.00
28/07/2026,UPI-JIO PREPAID-jioprepaid@icici-HDFC0000123-280598262045-RECHARGE,299.00,,20037.00
28/07/2026,UPI-OLA CABS-olacabs@icici-HDFC0000123-829922995900,90.00,,19947.00
29/07/2026,UPI-UBER INDIA-uber@axisbank-KKBK0000958-943969078447,132.00,,19815.00
30/07/2026,UPI-ZEPTO-zepto@hdfcbank-KKBK0000958-927065379473,796.00,,19019.00
01/08/2026,NEFT-CR-N083863794-ACME TECHNOLOGIES PVT LTD-SALARY AUG 2026,,45000.00,64019.00
02/08/2026,IMPS-080132677360-TRANSFER TO SELF SAVINGS A/C,4000.00,,60019.00
03/08/2026,ACH D- FITZONE GYMS PVT LTD-76311656,1000.00,,59019.00
03/08/2026,UPI-METRO RAIL TRAVEL CARD-metrocard@ybl-UTIB0000789-868501429401-RECHARGE,500.00,,58519.00
03/08/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-ICIC0000456-900532931839,47.00,,58472.00
04/08/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-UTIB0000789-290422842102,21.00,,58451.00
05/08/2026,UPI-RAVINDER KUMAR-ravinderk@ybl-HDFC0000123-305641395376-house,12000.00,,46451.00
06/08/2026,UPI-RAHUL SHARMA-rahul.sharma21@okhdfcbank-KKBK0000958-549329668516-returned,,2000.00,48451.00
07/08/2026,UPI-MANDATE-SPOTIFY INDIA-spotify@axisbank-ICIC0000456-872624731781,119.00,,48332.00
07/08/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-ICIC0000456-950240268117,77.00,,48255.00
08/08/2026,UPI-DMART-dmart@sbi-ICIC0000456-597746886239,391.00,,47864.00
08/08/2026,BILLDESK-HDFC CREDIT CARD-5662462873-CC PAYMENT,6820.00,,41044.00
09/08/2026,UPI-SWIGGY-swiggy@icici-SBIN0001234-080531003309,258.00,,40786.00
09/08/2026,UPI-SWIGGY-swiggy@icici-ICIC0000456-719374529912,339.00,,40447.00
09/08/2026,UPI-SWIGGY REFUND-swiggy@icici-ICIC0000456-867908740640-refund order,,342.00,40789.00
10/08/2026,ACH D- BAJAJ FINANCE LTD-73829973,5500.00,,35289.00
10/08/2026,UPI-BIGBASKET-bigbasket@icici-HDFC0000123-758181412478,400.00,,34889.00
10/08/2026,UPI-UBER INDIA-uber@axisbank-KKBK0000958-027677359255,257.00,,34632.00
12/08/2026,BBPS-BROADBAND SERVICES-6701065133-BILL PAY,999.00,,33633.00
13/08/2026,UPI-RAPIDO-rapido@ybl-SBIN0001234-258815371473,106.00,,33527.00
14/08/2026,UPI-SWIGGY-swiggy@icici-YESB0000262-049663193149,241.00,,33286.00
14/08/2026,UPI-STARBUCKS-starbucks@hdfcbank-HDFC0000123-756551256746,813.00,,32473.00
14/08/2026,UPI-FLIPKART INTERNET-flipkart@axisbank-SBIN0001234-345401938026,759.00,,31714.00
15/08/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-YESB0000262-917839084700,81.00,,31633.00
15/08/2026,UPI-UBER INDIA-uber@axisbank-HDFC0000123-469632595327,201.00,,31432.00
16/08/2026,BBPS-ELECTRICITY BOARD-1354278498-BILL PAY,1910.00,,29522.00
16/08/2026,UPI-BARBEQUE NATION-bbqn.pay@icici-KKBK0000958-122753046374-DINNER,3200.00,,26322.00
17/08/2026,UPI-ANANYA RAO-ananya.rao@okicici-UTIB0000789-499045301742-dinner,,800.00,27122.00
17/08/2026,UPI-KARTHIK N-karthik.n@ybl-SBIN0001234-841459332727-bbq,,800.00,27922.00
19/08/2026,UPI-MEERA IYER-meera.iyer@okaxis-KKBK0000958-956878339187-dinner share,,800.00,28722.00
19/08/2026,UPI-DMART-dmart@sbi-YESB0000262-519108839822-payment,640.00,,28082.00
19/08/2026,UPI-REV-DMART-587139718707-FAILED TXN REFUND,,640.00,28722.00
21/08/2026,UPI-CHAI POINT-chaipoint@ybl-SBIN0001234-154516808760,442.00,,28280.00
22/08/2026,UPI-RAPIDO-rapido@ybl-SBIN0001234-470168733950,82.00,,28198.00
24/08/2026,UPI-NEHA VERMA-neha.v@okaxis-KKBK0000958-391065180170-bday,1500.00,,26698.00
25/08/2026,UPI-JIO PREPAID-jioprepaid@icici-HDFC0000123-533158692322-RECHARGE,299.00,,26399.00
25/08/2026,UPI-SWIGGY-swiggy@icici-UTIB0000789-865185067165,505.00,,25894.00
26/08/2026,UPI-DMART-dmart@sbi-HDFC0000123-375060685361,633.00,,25261.00
26/08/2026,UPI-ZEPTO-zepto@hdfcbank-HDFC0000123-515220472779,255.00,,25006.00
26/08/2026,UPI-RAPIDO-rapido@ybl-SBIN0001234-974801624565,81.00,,24925.00
26/08/2026,UPI-RAPIDO-rapido@ybl-HDFC0000123-983584168784,281.00,,24644.00
27/08/2026,UPI-ZOMATO-zomato@hdfcbank-KKBK0000958-262849877694,345.00,,24299.00
27/08/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-SBIN0001234-177115921249,101.00,,24198.00
28/08/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-YESB0000262-569847896118,112.00,,24086.00
28/08/2026,UPI-APOLLO PHARMACY-apollopharmacy@icici-KKBK0000958-283857865278,470.00,,23616.00
28/08/2026,UPI-MEDPLUS-medplus@ybl-KKBK0000958-497334843443,620.00,,22996.00
31/08/2026,UPI-SWIGGY-swiggy@icici-HDFC0000123-473799650752,429.00,,22567.00
31/08/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-SBIN0001234-736576615654,67.00,,22500.00
31/08/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-KKBK0000958-711116152809,91.00,,22409.00
31/08/2026,UPI-BLINKIT-blinkit@icici-HDFC0000123-432898614341,298.00,,22111.00
01/09/2026,NEFT-CR-N026542351-ACME TECHNOLOGIES PVT LTD-SALARY SEP 2026,,45000.00,67111.00
01/09/2026,UPI-SWIGGY-swiggy@icici-HDFC0000123-367837770143,387.00,,66724.00
02/09/2026,IMPS-909169985435-TRANSFER TO SELF SAVINGS A/C,4000.00,,62724.00
02/09/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-YESB0000262-832731585149,48.00,,62676.00
02/09/2026,UPI-FLIPKART INTERNET-flipkart@axisbank-SBIN0001234-240049915478,1472.00,,61204.00
02/09/2026,UPI-SUNITA DEVI-sunita.devi@oksbi-UTIB0000789-622656766182-for mummy,2500.00,,58704.00
03/09/2026,ACH D- FITZONE GYMS PVT LTD-87234309,1000.00,,57704.00
03/09/2026,UPI-DMART-dmart@sbi-YESB0000262-808932460953,834.00,,56870.00
04/09/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-YESB0000262-998094024455,20.00,,56850.00
04/09/2026,UPI-DMART-dmart@sbi-ICIC0000456-185188888067,294.00,,56556.00
04/09/2026,UPI-RAPIDO-rapido@ybl-UTIB0000789-585239868000,105.00,,56451.00
04/09/2026,UPI-OLA CABS-olacabs@icici-UTIB0000789-787298259526,227.00,,56224.00
05/09/2026,UPI-RAVINDER KUMAR-ravinderk@ybl-KKBK0000958-724238849696,12000.00,,44224.00
05/09/2026,UPI-METRO RAIL TRAVEL CARD-metrocard@ybl-YESB0000262-655698169340-RECHARGE,500.00,,43724.00
05/09/2026,UPI-OLA CABS-olacabs@icici-UTIB0000789-958887947055,242.00,,43482.00
07/09/2026,UPI-MANDATE-SPOTIFY INDIA-spotify@axisbank-HDFC0000123-812191361939,119.00,,43363.00
07/09/2026,UPI-SWIGGY-swiggy@icici-UTIB0000789-957885685574,336.00,,43027.00
08/09/2026,UPI-DMART-dmart@sbi-UTIB0000789-405153195205,809.00,,42218.00
08/09/2026,BILLDESK-HDFC CREDIT CARD-3427086688-CC PAYMENT,17453.00,,24765.00
09/09/2026,UPI-ZOMATO-zomato@hdfcbank-ICIC0000456-135182337498,485.00,,24280.00
09/09/2026,UPI-ZOMATO-zomato@hdfcbank-HDFC0000123-343524082400,463.00,,23817.00
09/09/2026,UPI-ZOMATO-zomato@hdfcbank-KKBK0000958-271094777520,309.00,,23508.00
10/09/2026,ACH D- BAJAJ FINANCE LTD-26064746,5500.00,,18008.00
10/09/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-ICIC0000456-961201836675,40.00,,17968.00
10/09/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-UTIB0000789-599102290147,104.00,,17864.00
10/09/2026,ATM WDL-230047-ATM ICIC0002,2000.00,,15864.00
11/09/2026,UPI-ZOMATO-zomato@hdfcbank-HDFC0000123-167190229413,240.00,,15624.00
11/09/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-SBIN0001234-976438156149,82.00,,15542.00
11/09/2026,UPI-MEDPLUS-medplus@ybl-UTIB0000789-844198665240,414.00,,15128.00
12/09/2026,BBPS-BROADBAND SERVICES-8050097882-BILL PAY,999.00,,14129.00
12/09/2026,UPI-ZOMATO-zomato@hdfcbank-YESB0000262-993867749649,497.00,,13632.00
12/09/2026,UPI-STARBUCKS-starbucks@hdfcbank-HDFC0000123-348247710932,568.00,,13064.00
12/09/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-KKBK0000958-403690034324,57.00,,13007.00
12/09/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-HDFC0000123-076226838851,70.00,,12937.00
13/09/2026,UPI-ANANYA RAO-ananya.rao@okicici-KKBK0000958-868633752431-movie,,280.00,13217.00
14/09/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-HDFC0000123-607159696641,71.00,,13146.00
14/09/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-UTIB0000789-297516136968,30.00,,13116.00
14/09/2026,UPI-BIGBASKET-bigbasket@icici-KKBK0000958-277221704303,292.00,,12824.00
15/09/2026,UPI-BIGBASKET-bigbasket@icici-UTIB0000789-868740345054,377.00,,12447.00
16/09/2026,BBPS-ELECTRICITY BOARD-0841241182-BILL PAY,1650.00,,10797.00
16/09/2026,UPI-CHAI POINT-chaipoint@ybl-YESB0000262-613171274846,744.00,,10053.00
17/09/2026,UPI-STARBUCKS-starbucks@hdfcbank-ICIC0000456-782639821465,769.00,,9284.00
18/09/2026,UPI-SWIGGY-swiggy@icici-YESB0000262-133412328120,389.00,,8895.00
18/09/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-UTIB0000789-535218188355,113.00,,8782.00
